ZZ,
RR,Roraima
MG,Minas Gerais
RJ,Rio De Janeiro
PA,Pará
ES,Espírito Santo
CE,Ceará
RS,Rio Grande Do Sul
MA,Maranhão
AL,Alagoas
RN,Rio Grande Do Norte
AP,Amapá
SC,Santa Catarina
GO,Goiás
AM,Amazonas
PR,Paraná
MT,Mato Grosso
PE,Pernambuco
AC,Acre
RO,Rondônia
BA,Bahia
DF,Distrito Federal
PI,Piauí
MS,Mato Grosso Do Sul
SP,São Paulo
PB,Paraíba
SE,Sergipe
TO,Tocantins
