275,JARDIM BRASIL,68535
276,JD. CARAGUAVA,68535
277,CENTRO,16225
279,CATAGUARINO,43052
280,JARDIM PARAÍSO,64777
281,JARDIM AMÉRICA,64777
283,JARDIM SANTA RITA,64777
159,VILA CIDADE MORENA,90514
169,JARDIM SAO JOAO,64777
229,SAO JOSE,24198
220,CENTRO,23817
287,CENTRO - ZONA URBANA,8532
288,CENTRO,67873
290,JATOBA,50954
293,FLEXAL,4235
296,COHAB III,23817
299,NOVA APARECIDA,62910
300,VILA BOA VISTA,62910
301,DISTRITO DA PONTE SEGURA,40843
303,ZONA RURAL,95532
304,JARDIM COLONIAL,71072
305,CIDADE SÃO MATEUS,71072
306,VILA ANCHIETA,70971
308,CIDADE SATÉLITE - JARDIM SANTA BÁRBARA,71072
309,JARDIM VILA CARRÃO,71072
313,CENTRO,71595
314,DISTRITO DE ESPIGÃO,69493
317,AGUA AMARELA DO MEIO,74233
318,JARDIM AURORA - EMBALO,84573
319,VILA SANTO ANTONIO,63495
320,ITAIPABA,14931
321,RIO DAS FURNAS,82295
326,VILA VERDE,56162
327,CENTRO,52272
328,JARDIM SIMARA,62170
329,FERREIRA,58939
330,LARANJEIRAS,63576
332,PARQUE ESTER,63576
334,SESP - ZONA URBANA,7234
336,CENTRO,52515
337,CENTRO,95290
339,CENTRO,67539
340,TABA MARAJOARA,71510
341,RIO VISITA,84514
342,CUCAÚ,25372
345,VILA NOVA PILAR,68594
346,JARDIM PINHEIROS,61638
349,REGIÃO DE RIO PRETO,36536
350,CENTRO,58378
354,CENTRO,19216
355,ZONA RURAL,98957
356,ZONA RURAL,5010
357,VILA NOVA,48615
359,CENTRO,61638
360,CENTRO,91782
361,MANOEL MASSARANDUBA,35599
362,VILA EMA,71072
363,CENTRO,56898
364,CENTRO,79413
365,CENTRO,83712
366,SANTANA,80632
367,BAIRRO GRANJA ESPERANÇA,85618
369,VILA ALBA,90514
371,BURITI,90514
374,DISTRITO DE SURPRESA,19
377,MUNDAÍ,38075
378,CENTRO,23213
380,DISTRITO DE VISTA ALEGRE,91073
381,BAIRRO NOVO,23370
383,TAQUARUÇÚ,81078
385,DISTRITO SÃO JOÃO DO PARAÍSO,37192
386,CENTRO,75914
387,CJ RES SANTANA DO MUNDAÚ,28614
388,CENTRO,24732
391,CENTRO,24139
392,COHAB,23590
393,PARACATU,58033
394,BARRA FUNDA,71072
395,PERDIZES,71072
397,JUNDIAI,92215
398,ANJO DA GUARDA - ZONA URBANA,9210
399,VILA SAO LUIS-ZONA URBANA,9210
400,CENTRO,94234
401,FUMACÊ - ZONA URBANA,9210
402,VILA EMBRATEL - ZONA URBANA,9210
403,IDEAL-DISTRITO,13234
404,JARDIM COLIBRI II,90514
405,CENTRO,12149
408,CAMPINA,4855
410,INTERIOR,86568
411,CENTRO,25631
412,CENTRO,87602
413,BOM JARDIM,88161
414,LIMA AZEVEDO,76678
416,CENTRO,71315
418,REGINA,76678
420,CENTRO,67474
422,DISTRITO DE CONGONHAS,75256
423,CENTRO,82333
424,SAO TIAGO,48194
425,AMIN EL AOUAR,42730
426,CENTRO,61778
427,CHAPADÃO,87238
428,CENTRO,87238
433,CENTRO,28053
435,CENTRO,44091
436,CENTRO,47970
438,CENTRO,30937
439,CENTRO,87424
440,CENTRO - ZONA URBANA,9253
441,CRUZEIRO DO ANIL - ZONA URBANA,9210
443,CENTRO,43834
446,COHAB,23051
447,CENTRO,71293
449,CENTRO,25470
452,PARQUE DAS AMÉRICAS,66893
454,SETOR PEDRO LUDOVICO,93734
455,CENTRO,19577
457,RÁDIO,51918
459,PARQUE ANHANGUERA,71072
461,CENTRO,81337
462,DISTRITO SANTO ANTÔNIO,13838
463,CENTRO,93858
464,DISTRITO BARRA GRANDE,81035
465,VILA DE SANTO ANTONIO DE URINDEUA,5231
466,CENTRO,83313
470,DOM MAURICIO,15270
471,CENTRO,34894
472,NOVA CIDADE,66877
474,CIDADE,86134
476,CENTRO,48658
477,BOA VISTA,79570
481,CENTRO,25038
483,JARDIM ALZIRA,58122
486,VILA SOLANGE,71072
487,VILA MENDONCA,61557
488,JARDIM QUERÊNCIA,93343
489,RIO DO MEIO,77712
490,PARQUE ESTRELA DALVA IV,94455
491,JD STO ANTONIO,71072
492,JARDIM MIRANTE,71072
493,TORNATORE,63991
495,AVIAÇÃO - ZONA URBANA,7498
